block_num,run_type,exe_time
20307280,aot,56171.29986
20307280,native,55684.68892
19457709,jit,55413.97411
19457709,aot,55663.20359
19457709,native,55370.99342
19870406,jit,47904.73661
19870406,aot,47897.66689
19870406,native,47937.59827
19764483,jit,48548.71282
19764483,aot,48317.45655
19764483,native,48351.20085
20155376,jit,48537.51218
20155376,aot,48591.72196
20155376,native,48547.50384
19999431,jit,55693.4104
19999431,aot,55717.29282
19999431,native,55758.42699
19837563,jit,44991.07858
19837563,aot,45054.60022
19837563,native,44978.36728
19496415,jit,45311.54116
19496415,aot,45328.6699
19496415,native,45363.0416
19865956,jit,47330.15371
19865956,aot,47274.14773
19865956,native,47406.83025
19275031,jit,46866.48119
19275031,aot,46850.17545
19275031,native,46767.09728
19845472,jit,46166.2489
19845472,aot,46075.6383
19845472,native,46124.99202
19177973,jit,45901.09475
19177973,aot,45893.85762
19177973,native,45859.60818
19301583,jit,48459.78304
19301583,aot,48314.74729
19301583,native,48230.68132
19510724,jit,45917.03762
19510724,aot,45820.73555
19510724,native,45734.08584
20281316,jit,53000.80842
20281316,aot,52919.36159
20281316,native,52931.03785
20236834,jit,44659.39449
20236834,aot,44632.49579
20236834,native,44596.3331
19539173,jit,48852.34244
19539173,aot,48716.73086
19539173,native,48809.56658
19203474,jit,44376.05612
19203474,aot,44200.48473
19203474,native,44197.94424
19304170,jit,45899.93655
19304170,aot,45979.07037
19304170,native,45842.08603
19252521,jit,50858.95009
19252521,aot,50680.74574
19252521,native,50746.8446
19930015,jit,44265.7641
19930015,aot,44241.18875
19930015,native,44314.26266
19652804,jit,48659.52296
19652804,aot,46732.5843
19652804,native,47049.42896
19647059,jit,55829.05986
19647059,aot,55678.59076
19647059,native,55914.31776
20008849,jit,45611.40516
20008849,aot,45973.83489
20008849,native,45929.48239
20275257,jit,60783.1683
20275257,aot,60567.99215
20275257,native,60854.53201
19684996,jit,48585.25698
19684996,aot,48414.93547
19684996,native,48422.88492
19564545,jit,50352.98612
19564545,aot,50252.78266
19564545,native,50258.92234
19749790,jit,51890.75658
19749790,aot,51796.14798
19749790,native,51878.59335
19152814,jit,46579.94129
19152814,aot,46444.08818
19152814,native,46289.52164
19554798,jit,48233.48926
19554798,aot,48156.36247
19554798,native,48459.11307
19199276,jit,49278.72346
19199276,aot,49338.02512
19199276,native,49275.31039
19983131,jit,49032.41598
19983131,aot,49116.15003
19983131,native,48957.15807
20129144,jit,45041.41956
20129144,aot,45027.38484
20129144,native,45105.21654
20192476,jit,60781.52959
20192476,aot,61066.04888
20192476,native,60762.54363
19131922,jit,47562.82744
19131922,aot,47583.24293
19131922,native,47518.91123
19734743,jit,46051.59695
19734743,aot,46086.8251
19734743,native,45987.11968
19952765,jit,51063.40768
19952765,aot,50794.07478
19952765,native,50732.61989
19264934,jit,47682.55059
19264934,aot,47730.55197
19264934,native,47854.06365
20057414,jit,45048.09556
20057414,aot,44877.7524
20057414,native,44948.79712
20362681,jit,47830.1928
20362681,aot,47817.76006
20362681,native,47657.49654
19514979,jit,49722.6732
19514979,aot,49657.51796
19514979,native,49744.56428
19521680,jit,44374.2728
19521680,aot,44332.01796
19521680,native,44307.57542
19295956,jit,47517.14157
19295956,aot,47416.65809
19295956,native,47554.55555
19657931,jit,45001.20158
19657931,aot,44935.11903
19657931,native,44983.88906
19960692,jit,44772.51204
19960692,aot,44814.47557
19960692,native,44926.99546
19655009,jit,45195.06137
19655009,aot,45192.01507
19655009,native,45251.52996
19027543,jit,48830.84278
19027543,aot,48826.36033
19027543,native,48833.60419
20149987,jit,51931.36643
20149987,aot,51808.02866
20149987,native,52110.75585
20356752,jit,46497.60214
20356752,aot,46592.17635
20356752,native,46476.95701
19573624,jit,52811.59141
19573624,aot,52794.37173
19573624,native,52763.16495
19083482,jit,46873.95582
19083482,aot,46861.13028
19083482,native,46851.74852
19820248,jit,43401.86925
19820248,aot,43156.11521
19820248,native,43133.00828
19350432,jit,46955.09251
19350432,aot,46840.89763
19350432,native,46701.19516
19471219,jit,49689.62928
19471219,aot,49607.22076
19471219,native,49603.10031
20242772,jit,47871.12858
20242772,aot,47758.58711
20242772,native,47778.08664
19580230,jit,46721.02585
19580230,aot,46769.31994
19580230,native,47280.3709
20366976,jit,47120.61379
20366976,aot,47074.18201
20366976,native,47137.69152
19081707,jit,68632.19908
19081707,aot,68660.08328
19081707,native,68514.88343
19319088,jit,48782.51085
19319088,aot,48712.09767
19319088,native,48688.32645
19643589,jit,45048.58015
19643589,aot,45210.87986
19643589,native,45150.63073
19017825,jit,46287.57279
19017825,aot,46463.76931
19017825,native,46251.41941
19372326,jit,45415.85802
19372326,aot,45426.15695
19372326,native,45441.55817
19070862,jit,47251.34562
19070862,aot,47276.84131
19070862,native,47271.67142
19133976,jit,46731.77521
19133976,aot,46846.17018
19133976,native,46698.40662
20035028,jit,46566.75226
20035028,aot,46543.59331
20035028,native,46598.60638
19139296,jit,45401.74592
19139296,aot,45389.4023
19139296,native,45351.87798
19209431,jit,45483.54095
19209431,aot,45268.49232
19209431,native,45341.92184
20347019,jit,74069.13379
20347019,aot,73943.31005
20347019,native,74094.73803
19850077,jit,51600.1147
19850077,aot,51396.94538
19850077,native,51220.96632
19875656,jit,56421.62996
19875656,aot,56300.34038
19875656,native,56253.84507
19523844,jit,45478.76252
19523844,aot,45530.49523
19523844,native,45442.5357
19092663,jit,44716.08064
19092663,aot,44663.04433
